UCSC_igenome	mm10
Hist1h2ak	H2ac15
Hist1h2bn	H2bc15
Hist1h1b	H1f5
Hist1h3i	H3c11
Hist1h2an	H2ac22
Hist1h2bp	H2bc22
Hist1h2bq	H2bc23
Hist1h2br	H2bc24
Hist1h2ao	H2ac23
Hist1h2ap	H2ac24
Hist1h4m	H4c17
Hist1h4n	H4c18
Hist1h2ah	H2ac12
Hist1h2bk	H2bc12
Hist1h4i	H4c9
Hist1h2ag	H2ac11
Hist1h2bj	H2bc11
Vmn1r207-ps	Vmn1r207
Hist1h4h	H4c8
Hist1h2af	H2ac10
Hist1h3g	H3c8
Hist1h2bh	H2bc9
Hist1h3f	H3c7
Hist1h4f	H4c6
Hist1h1d	H1f3
Hist1h3e	H3c6
Hist1h2ae	H2ac8
Hist1h2bg	H2bc8
Hist1h2bf	H2bc7
Hist1h2ad	H2ac7
Hist1h3d	H3c4
Hist1h4d	H4c4
Hist1h2be	H2bc6
Hist1h1e	H1f4
Hist1h2ac	H2ac6
Hist1h2bc	H2bc4
Hist1h1t	H1f6
Hist1h4c	H4c3
Hist1h1c	H1f2
Hist1h3c	H3c3
Hist1h2bb	H2bc3
Hist1h2ab	H2ac4
Hist1h3b	H3c2
Hist1h4b	H4c2
Hist1h4a	H4c1
Hist1h3a	H3c1
Hist1h1a	H1f1
Hist1h2ba	H2bc1
Hist1h2aa	H2ac1
Lrrc16a	Carmil1
Fam65b	Ripor2
4933417A18Rik	Tex56
1110007C09Rik	Card19
Iars	Iars1
Gm906	Spata31e3
Gm8765	Spata31e4
H2afy	Macroh2a1
4930550C17Rik	Neudnr
2210016F16Rik	Qng1
Zcchc6	Tut7
6720489N17Rik	Zfp1008
2010111I01Rik	Aopep
Aaed1	Prxl2c
1190003K10Rik	Fam240b
Hiatl1	Mfsd14b
Olfr466	Or9s18
Gm10324	Zfp997
2410141K09Rik	Zfp998
Gm10767	Ramacl
Gm10037	Krbox5
1700001L19Rik	Cfap90
Papd7	Tent4a
D630045M09Rik	Eprn
Ttc37	Skic3
Ankrd32	Slf1
Fam172a	Arb2a
C130071C03Rik	Mir9-2hg
Papd4	Tent2
Col4a3bp	Cert1
Lincenc1	Lncenc1
1700024P04Rik	H2bl1
Erbb2ip	Erbin
Fam159b	Shisal2b
4933425L06Rik	Nt5el
Ppap2a	Plpp1
Skiv2l2	Mtrex
Gm7120	Tmem267
AF067063	Tcstv7a
Tcstv1	Tcstv1a
B020031M17Rik	Tcstv5a
Gm21188	Anxa2r1
Gm20767	Tcstv2c
AF067061	Tcstv2a
BC147527	Tcstv4
LOC100861615	Gm3411
Oit1	Fam3d
4930452B06Rik	Cfap20dc
3830406C13Rik	Cep15
Olfr720	Or2t6
Olfr31	Or2t1
2700060E02Rik	Rtraf
Fut11	Pofut4
Dupd1	Dusp29
Dusp13	Dusp13a
Dusp13	Dusp13b
1700112E06Rik	Lrmda
Plac9a	Plac9
Tmem254a	Tmem254
Tmem254b	Tmem254
Duxbl3	Duxbl1
Cphx2	Cphx1
Plac9b	Plac9
Tmem254c	Tmem254
Duxbl2	Duxbl1
Fam208a	Tasor
Selk	Selenok
Tmem110	Stimate
Smim4	Uqcc5
Prrxl1	Drgx
1810011H11Rik	Tmem273
Fam35a	Shld2
Fam25c	Fam25a
Wapal	Wapl
